#V3.30.08.02-trans;_2017_09_26;_Stock_Synthesis_by_Richard_Methot_(NOAA)_using_ADMB_11.6
#_user_support_available_at:NMFS.Stock.Synthesis@noaa.gov
#_user_info_available_at:https://vlab.ncep.noaa.gov/group/stock-synthesis
#_Start_time: Tue Sep 26 16:18:20 2017
#_Number_of_datafiles: 1
#C data file created using the SS_writedat function in the R package r4ss
#C should work with SS version: 
#C file write time: 2015-04-27 21:23:15
#_observed data: 
#V3.30.08.02-trans;_2017_09_26;_Stock_Synthesis_by_Richard_Methot_(NOAA)_using_ADMB_11.6
1876 #_StartYr
2014 #_EndYr
1 #_Nseas
 12 #_months/season
2 #_Nsubseasons (even number, minimum is 2)
1 #_spawn_month
2 #_Ngenders
40 #_Nages=accumulator age
1 #_Nareas
7 #_Nfleets (including surveys)
#_fleet_type: 1=catch fleet; 2=bycatch only fleet; 3=survey; 4=ignore 
#_survey_timing: -1=for use of catch-at-age to override the month value associated with a datum 
#_fleet_area:  area the fleet/survey operates in 
#_units of catch:  1=bio; 2=num (ignored for surveys; their units read later)
#_catch_mult: 0=no; 1=yes
#_rows are fleets
#_fleet_type timing area units need_catch_mult fleetname
 1 0.16 1 1 0 WinterN  # 1
 1 0.67 1 1 0 SummerN  # 2
 1 0.16 1 1 0 WinterS  # 3
 1 0.67 1 1 0 SummerS  # 4
 3 0.73 1 2 0 TriEarly  # 5
 3 0.67 1 2 0 TriLate  # 6
 3 0.67 1 2 0 NWFSC  # 7
#_Catch data: yr, seas, fleet, catch, catch_se
#_catch_se:  standard error of log(catch)
#_NOTE:  catch data is ignored for survey fleets
-999 1 1 0 0.01
1876 1 1 0 0.01
1877 1 1 0 0.01
1878 1 1 0 0.01
1879 1 1 0 0.01
1880 1 1 0 0.01
1881 1 1 0 0.01
1882 1 1 0 0.01
1883 1 1 0 0.01
1884 1 1 0 0.01
1885 1 1 0 0.01
1886 1 1 0 0.01
1887 1 1 0 0.01
1888 1 1 0 0.01
1889 1 1 0 0.01
1890 1 1 0 0.01
1891 1 1 0 0.01
1892 1 1 0 0.01
1893 1 1 0 0.01
1894 1 1 0 0.01
1895 1 1 0 0.01
1896 1 1 0 0.01
1897 1 1 0 0.01
1898 1 1 0 0.01
1899 1 1 0 0.01
1900 1 1 0 0.01
1901 1 1 0 0.01
1902 1 1 0 0.01
1903 1 1 0 0.01
1904 1 1 0 0.01
1905 1 1 0 0.01
1906 1 1 0 0.01
1907 1 1 0 0.01
1908 1 1 0 0.01
1909 1 1 0 0.01
1910 1 1 0 0.01
1911 1 1 0 0.01
1912 1 1 0 0.01
1913 1 1 0 0.01
1914 1 1 0 0.01
1915 1 1 0 0.01
1916 1 1 0 0.01
1917 1 1 0 0.01
1918 1 1 0 0.01
1919 1 1 0 0.01
1920 1 1 0 0.01
1921 1 1 0 0.01
1922 1 1 0 0.01
1923 1 1 0 0.01
1924 1 1 0 0.01
1925 1 1 0 0.01
1926 1 1 0 0.01
1927 1 1 0 0.01
1928 1 1 0 0.01
1929 1 1 0 0.01
1930 1 1 0 0.01
1931 1 1 0 0.01
1932 1 1 1.99 0.01
1933 1 1 5.96 0.01
1934 1 1 9.93 0.01
1935 1 1 13.9 0.01
